region_id,Median_age_persons,Median_mortgage_repay_monthly,Median_Tot_prsnl_inc_weekly,Median_rent_weekly_,Median_Tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_Tot_hhd_inc_weekly,Average_household_size
UCL101001,35,2193,634,369,1728,1.2,1493,2.7
UCL102001,35,2000,835,285,2036,1.1,1622,2.5
UCL102002,41,1820,501,270,1280,1.1,997,2.5
UCL102003,47,1800,443,300,1040,1.1,828,2.3
UCL102004,39,1780,544,270,1470,1.1,1150,2.5
UCL103001,38,1921,480,250,1381,1.1,1086,2.6
UCL111001,37,1408,554,195,1333,1.1,1000,2.3
UCL111002,36,1733,551,255,1501,1.1,1239,2.6
UCL112001,34,1647,542,220,1429,1.1,1127,2.5
UCL112002,44,1733,527,260,1351,1.1,1014,2.3
UCL112003,37,1500,443,220,1174,1.1,933,2.5
UCL112004,42,1600,474,250,1107,1.1,887,2.4
UCL112005,35,1460,571,200,1301,1.1,1053,2.5
UCL112006,40,1479,519,185,1284,1.1,962,2.4
UCL112007,38,1492,457,225,1087,1.1,864,2.4
UCL112008,36,1408,574,170,1342,1.1,1107,2.7
UCL112009,39,1473,442,200,1067,1.1,854,2.4
UCL112010,35,1625,574,230,1445,1.1,1132,2.5
UCL112011,46,1733,471,250,1066,1.1,855,2.3
UCL112012,37,1408,531,215,1192,1.1,962,2.4
UCL112013,34,1549,585,225,1399,1.1,1115,2.5
UCL113001,32,1430,468,210,1228,1.1,938,2.4
UCL113002,49,1585,459,275,992,1.1,792,2.1
UCL113003,49,1444,413,230,884,1.1,743,2.2
UCL113004,47,1950,545,280,1384,1.0,1080,2.4
UCL113005,43,956,413,150,996,1.1,785,2.2
UCL113006,48,1500,466,230,1039,1.0,834,2.2
UCL113007,55,1500,392,220,855,1.1,693,2.1
UCL113008,40,1300,424,205,961,1.1,772,2.4
UCL113009,35,1563,528,190,1263,1.1,1030,2.6
UCL113010,39,1200,380,180,848,1.1,691,2.4
UCL113011,45,2000,567,300,1493,1.1,1213,2.5
UCL113012,37,1365,438,220,1110,1.1,909,2.5
UCL113013,42,1300,419,175,1074,1.1,792,2.2
UCL113014,44,1667,464,258,1166,1.1,927,2.5
UCL113015,32,1733,620,240,1732,1.1,1409,2.5
UCL113016,47,1733,504,285,1207,1.0,971,2.4
UCL113017,38,1387,485,165,1179,1.1,920,2.4
UCL113018,35,1517,485,220,1201,1.1,987,2.6
UCL113019,33,1950,634,270,1912,1.1,1638,2.6
UCL113020,44,1300,390,190,894,1.1,719,2.3
UCL113021,49,1387,393,240,876,1.1,740,2.2
UCL114001,59,1517,377,230,811,1.1,644,2.0
UCL114002,40,1300,396,200,906,1.1,728,2.3
UCL114003,42,1183,511,180,1174,1.1,868,2.2
UCL114004,47,1083,397,160,951,1.1,722,2.2
UCL114005,46,1300,478,178,1125,1.0,860,2.2
UCL114006,43,1083,401,160,968,1.1,741,2.3
UCL114007,43,1083,477,150,1139,1.0,830,2.2
UCL114008,40,1105,445,155,982,1.1,775,2.3
