name	state_id	postcode	latitude	longitude	variant_name	status
NERANG	QLD		-2.7984169999999999e+01	1.5331806000000000e+02		O
RICHMOND HILL	QLD		-2.0064170000000001e+01	1.4626639000000000e+02		O
GRAND SECRET	QLD		-2.0074719999999999e+01	1.4624417000000000e+02		O
QUEENTON	QLD		-2.0076110000000000e+01	1.4628138999999999e+02		O
CHARTERS TOWERS CITY	QLD		-2.0076670000000000e+01	1.4626083000000000e+02		O
WATERFORD	QLD		-2.7710830000000001e+01	1.5314694000000000e+02		O
HOLMVIEW	QLD		-2.7714440000000000e+01	1.5317111000000000e+02		O
CARBROOK	QLD		-2.7672499999999999e+01	1.5325278000000000e+02		O
MORNINGSIDE	QLD		-2.7462499999999999e+01	1.5307472000000001e+02		O
HAWTHORNE	QLD		-2.7466670000000001e+01	1.5305833000000001e+02		O
NELLY BAY	QLD		-1.9156939999999999e+01	1.4684693999999999e+02		O
ARCADIA	QLD		-1.9146110000000000e+01	1.4686082999999999e+02		O
BETHANIA	QLD		-2.7686940000000000e+01	1.5315750000000000e+02		O
WAKERLEY	QLD		-2.7481670000000001e+01	1.5315916999999999e+02		O
GUMDALE	QLD		-2.7495000000000001e+01	1.5315611000000001e+02		O
TOOWONG	QLD		-2.7481670000000001e+01	1.5299000000000001e+02		O
BARDON	QLD		-2.7458330000000000e+01	1.5297917000000001e+02		O
PELICAN WATERS	QLD		-2.6832500000000000e+01	1.5310028000000000e+02		O
GOLDEN BEACH	QLD		-2.6822780000000002e+01	1.5312194000000000e+02		O
SPRINGFIELD LAKES	QLD		-2.7682780000000001e+01	1.5291278000000000e+02		O
SPRINGFIELD CENTRAL	QLD		-2.7685559999999999e+01	1.5290416999999999e+02		O
PORT OF BRISBANE	QLD		-2.7380279999999999e+01	1.5318028000000001e+02		O
NUNDAH	QLD		-2.7402500000000000e+01	1.5306361000000001e+02		O
NUDGEE	QLD		-2.7370560000000001e+01	1.5309000000000000e+02		O
NORTHGATE	QLD		-2.7390000000000001e+01	1.5307333000000000e+02		O
HENDRA	QLD		-2.7417500000000000e+01	1.5306971999999999e+02		O
BANYO	QLD		-2.7378889999999998e+01	1.5308167000000000e+02		O
STUART	QLD		-1.9321670000000001e+01	1.4685471999999999e+02		O
BROOKFIELD	QLD		-2.7490279999999998e+01	1.5289582999999999e+02		O
BUNDABERG NORTH	QLD		-2.4849720000000001e+01	1.5234556000000001e+02		O
UPPER MOUNT GRAVATT	QLD		-2.7555280000000000e+01	1.5307972000000001e+02		O
MANSFIELD	QLD		-2.7533609999999999e+01	1.5310249999999999e+02		O
GREENSLOPES	QLD		-2.7505279999999999e+01	1.5304972000000001e+02		O
COORPAROO	QLD		-2.7495560000000001e+01	1.5306222000000000e+02		O
CARINA HEIGHTS	QLD		-2.7506390000000000e+01	1.5309250000000000e+02		O
MOUNT GRAVATT EAST	QLD		-2.7530280000000001e+01	1.5308555999999999e+02		O
MOUNT GRAVATT	QLD		-2.7540279999999999e+01	1.5307221999999999e+02		O
HOLLAND PARK WEST	QLD		-2.7523330000000001e+01	1.5305944000000000e+02		O
HOLLAND PARK	QLD		-2.7519439999999999e+01	1.5307277999999999e+02		O
PARKINSON	QLD		-2.7643609999999999e+01	1.5302916999999999e+02		O
CALAMVALE	QLD		-2.7623329999999999e+01	1.5304805999999999e+02		O
ALGESTER	QLD		-2.7612500000000001e+01	1.5303361000000001e+02		O
BOWEN HILLS	QLD		-2.7443330000000000e+01	1.5303611000000001e+02		O
BRISBANE AIRPORT	QLD		-2.7393329999999999e+01	1.5311332999999999e+02		O
PINKENBA	QLD		-2.7405830000000002e+01	1.5314082999999999e+02		O
HAMILTON	QLD		-2.7438330000000001e+01	1.5306721999999999e+02		O
EAGLE FARM	QLD		-2.7431390000000000e+01	1.5308806000000001e+02		O
CARSELDINE	QLD		-2.7346670000000000e+01	1.5301777999999999e+02		O
MARYBOROUGH	QLD		-2.5523330000000001e+01	1.5269694000000001e+02		O
SPRING HILL	QLD		-2.7459440000000001e+01	1.5302610999999999e+02		O
NEW FARM	QLD		-2.7467780000000001e+01	1.5304832999999999e+02		O
FORTITUDE VALLEY	QLD		-2.7456669999999999e+01	1.5303721999999999e+02		O
SOUTH TOWNSVILLE	QLD		-1.9260280000000002e+01	1.4683082999999999e+02		O
HERITAGE PARK	QLD		-2.7682500000000001e+01	1.5306000000000000e+02		O
CRESTMEAD	QLD		-2.7684719999999999e+01	1.5308610999999999e+02		O
REDBANK PLAINS	QLD		-2.7651940000000000e+01	1.5284750000000000e+02		O
NEW CHUM	QLD		-2.7618060000000000e+01	1.5283055999999999e+02		O
BLACKSTONE	QLD		-2.7633060000000000e+01	1.5280750000000000e+02		O
GLADSTONE HARBOUR	QLD		-2.3800280000000001e+01	1.5128500000000000e+02		O
INDOOROOPILLY	QLD		-2.7503889999999998e+01	1.5297999999999999e+02		O
YAROOMBA	QLD		-2.6552499999999998e+01	1.5309278000000000e+02		O
WURTULLA	QLD		-2.6755556110000001e+01	1.5312666320000000e+02		O
PARREARRA	QLD		-2.6711111070000001e+01	1.5312167360000001e+02		O
PEREGIAN SPRINGS	QLD		-2.6493610000000000e+01	1.5307111000000000e+02		O
PEREGIAN BEACH (SUNSHINE COAST REGIONAL)	QLD		-2.6472223280000001e+01	1.5307499690000000e+02		O
SUNSHINE BEACH	QLD		-2.6406666000000001e+01	1.5310112000000001e+02		O
SUNRISE BEACH	QLD		-2.6416388000000001e+01	1.5310528600000001e+02		O
SIPPY DOWNS	QLD		-2.6723330000000001e+01	1.5308444000000000e+02		O
SHELLY BEACH (SUNSHINE COAST REGIONAL)	QLD		-2.6796388629999999e+01	1.5314582820000001e+02		O
POINT ARKWRIGHT	QLD		-2.6548610000000000e+01	1.5310111000000001e+02		O
PACIFIC PARADISE	QLD		-2.6623329999999999e+01	1.5307277999999999e+02		O
NOOSAVILLE	QLD		-2.6414722439999998e+01	1.5305361940000000e+02		O
NOOSA HEADS	QLD		-2.6398333000000001e+01	1.5309165999999999e+02		O
MUDJIMBA	QLD		-2.6618610000000000e+01	1.5309250000000000e+02		O
